"STT","Name","SKU","Price","ComparePrice","Vendor","ProductType","Available","Stock","Handle"
"1","Alta Mora Etna Bianco DOC","L10030","1540000","0","Alta Mora","Rượu vang trắng","True","28","alta-mora-etna-bianco-doc"
"2","Alta Mora Etna Rosso DOC","L10031","1820000","0","Alta Mora","Rượu vang đỏ","True","47","alta-mora-etna-rosso-doc"
"3","Arco dei Giovi Amarone Della Valpolicella Classico DOCG","L10004","2800000","0","Sartori di Verona","Rượu vang đỏ","True","7","arco-dei-giovi-amarone-della-valpolicella-classico-docg"
"4","Arco dei Giovi Pinot Grigio delle Venezie DOC","L10007","510000","0","Sartori di Verona","Rượu vang trắng","True","63","arco-dei-giovi-pinot-grigio-delle-venezie-doc-1"
"5","Arco dei Giovi Valpolicella Ripasso Superiore DOC","L10005","1100000","0","Sartori di Verona","Rượu vang đỏ","True","3","arco-dei-giovi-valpolicella-ripasso-superiore-doc"
"6","Baudouin Millet Bourgogne Chardonnay","L20042","1600000","0","Badouin Millet","Rượu vang trắng","True","11","baudouin-millet-bourgogne-chardonnay"
"7","Baudouin Millet Chablis","L20040","2070000","0","Badouin Millet","Rượu vang trắng","True","24","baudouin-millet-chablis"
"8","Baudouin Millet Chablis 1er Cru Vaucoupin","L20041","3110000","0","Badouin Millet","Rượu vang trắng","True","12","baudouin-millet-chablis-1er-cru-vaucoupin"
"9","Baudouin Millet Petit Chablis","L20039","1730000","0","Badouin Millet","Rượu vang trắng","True","22","baudouin-millet-petit-chablis"
"10","Berton Vineyards Metal Label Sauvignon Blanc","L40006","650000","0","Berton Vineyards","Rượu vang trắng","True","31","berton-vineyards-metal-label-sauvignon-blanc"
"11","Berton Vineyards Metal Label The Black Shiraz","L40005","650000","0","Berton Vineyards","Rượu vang đỏ","True","37","berton-vineyards-metal-label-the-black-shiraz"
"12","Berton Vineyards Reserve Barossa Shiraz","L40008","1150000","0","Berton Vineyards","Rượu vang đỏ","True","26","berton-vineyards-reserve-barossa-shiraz"
"13","Berton Vineyards Reserve Coonawarra Cabernet Sauvignon","L40007","1150000","0","Berton Vineyards","Rượu vang đỏ","True","30","berton-vineyards-reserve-coonawarra-cabernet-sauvignon"
"14","Berton Vineyards Reserve Riverina Botrytis Semillon","L40009","1150000","0","Berton Vineyards","Rượu vang trắng","True","18","berton-vineyards-reserve-riverina-botrytis-semillon"
"15","CENTOVENTI “Special Edition” Rosso Veneto IGT","L10008","830000","0","Sartori di Verona","Rượu vang đỏ","True","18","arco-dei-giovi-pinot-grigio-delle-venezie-doc"
"16","Chateau Clos Cormey Saint - Emilion Grand Cru","L20029","1480000","500000","Maison Bouey","Rượu vang đỏ","True","20","chateau-clos-cormey-saint-emilion-grand-cru"
"17","Chateau Clos Seric Bordeaux Superieur","L20004","660000","0","Maison Bouey","Rượu vang đỏ","True","15","chateau-clos-seric-bordeaux-superieur"
"18","Chateau de Ciffre Grand Vin AOP Faugeres","L20059","2170000","0","Lorgeril","Rượu vang đỏ","True","12","chateau-de-ciffre-grand-vin-aop-faugeres"
"19","Chateau de Ciffre Grand Vin AOP Saint Chinian","L20060","2170000","0","Lorgeril","Rượu vang đỏ","True","11","chateau-de-ciffre-grand-vin-aop-saint-chinian"
"20","Chateau de Pennautier Terroirs d'Altitude","L20057","1050000","0","Lorgeril","Rượu vang đỏ","True","43","chateau-de-pennautier-terroirs-d-altitude"
"21","Chateau Moulin de la Bridane Saint - Julien","L20030","2290000","500000","Maison Bouey","Rượu vang đỏ","True","15","chateau-moulin-de-la-bridane-saint-julien"
"22","Collavini  Ribolla Gialla Benedete IGT","L10022","880000","0","Eugenio Collavini","Rượu vang trắng","True","13","collavini-ribolla-gialla-benedete-igt"
